"","Name","Position","State","Stars","Yards","TD"
"1","Adam Dingwell","QB","Texas",2,939,8
"2","Alex Zordich","QB","Ohio",2,1254,9
"3","Andrew Hendrix","QB","Ohio",4,55,0
"4","Andrew Manley","QB","Hawaii",3,2764,18
"5","Angel Santiago","QB","California",2,0,0
"6","Anthony Boone","QB","North Carolina",3,531,5
"7","Arsenio Favor","QB","Alabama",2,650,3
"8","Barry Brunetti","QB","Tennessee",4,196,1
"9","Blake Bell","QB","Kansas",4,107,0
"10","Blake Bortles","QB","Florida",3,3059,25
"11","Blake Jurich","QB","California",2,66,1
"12","Bo Wallace","QB","Tennessee",2,2994,22
"13","Bobby Eveld","QB","Florida",3,29,0
"14","Brandon Connette","QB","California",3,38,3
"15","Brandon Doughty","QB","Florida",3,7,0
"16","Brett Nottingham","QB","California",4,22,0
"17","Bryan Bennett","QB","California",4,211,3
"18","Case McCoy","QB","Texas",3,722,6
"19","Chandler Whitmer","QB","Illinois",4,2659,9
"20","Chas Dodd","QB","South Carolina",2,0,0
"21","Chase Rettig","QB","California",3,3055,17
"22","Clint Trickett","QB","Florida",3,272,0
"23","Cody Fajardo","QB","California",3,2786,20
"24","Cody Kater","QB","Michigan",3,12,0
"25","Colby Kirkegaard","QB","Arizona",3,123,0
"26","Connor Halliday","QB","Washington",3,1878,15
"27","Connor Shaw","QB","Georgia",3,1956,17
"28","Connor Wood","QB","Texas",4,265,1
"29","David Piland","QB","Texas",3,2929,16
"30","Derrick Teegarden","QB","Texas",2,0,0
"31","Devin Gardner","QB","Michigan",4,1219,11
"32","Dylan Thompson","QB","South Carolina",2,1027,10
"33","Garrett Grayson","QB","Washington",3,946,7
"34","Grant Hedrick","QB","Oregon",3,116,0
"35","Jake Medlock","QB","Florida",3,2127,13
"36","Jameill Showers","QB","Texas",3,319,2
"37","James Franklin","QB","Texas",4,1562,10
"38","Jared Barnett","QB","Texas",3,624,6
"39","Jeremy Higgins","QB","Hawaii",2,335,1
"40","Jordan Rodgers","QB","California",3,2539,15
"41","Kalen Henderson","QB","Louisiana",2,294,1
"42","Keith Wenning","QB","Ohio",3,3095,24
"43","Logan Kilgore","QB","California",3,2571,16
"44","Mark Leal","QB","Florida",3,26,0
"45","Matt Brown","QB","Texas",3,52,0
"46","Matt Joeckel","QB","Texas",3,42,0
"47","Miles Osei","QB","Illinois",3,79,0
"48","Munchie Legaux","QB","Louisiana",3,1716,13
